Round,Alive,Dead,CH_Count,Generated,Delivered,Lost,Unclustered,LEACH_Epoch,Control_TX,Control_RX,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Cluster_Size,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps
1,100,0,6,100,100,0,0,1,105,782,100,100,0.1760878298,49.8239121702,16.6666666667,16.3272682061,1.0000000000,0.9692800000,217.0683393859
2,100,0,9,100,100,0,0,1,108,1073,100,100,0.2466848478,49.5772273224,11.1111111111,16.0747548215,1.0000000000,0.9729280000,216.2544402052
3,100,0,2,100,100,0,0,1,102,394,100,100,0.0803925909,49.4968347315,50.0000000000,16.6638505395,1.0000000000,0.9656320000,217.8883881230
4,100,0,5,100,100,0,0,1,105,685,100,100,0.1506306159,49.3462041157,20.0000000000,16.4114015726,1.0000000000,0.9692800000,217.0683393859
5,100,0,4,100,100,0,0,1,104,588,100,100,0.1276622143,49.2185419014,25.0000000000,16.4956084352,1.0000000000,0.9680640000,217.3410022478
6,100,0,9,100,100,0,0,1,109,1073,100,100,0.2464708976,48.9720710038,11.1111111111,16.0747378696,1.0000000000,0.9741440000,215.9844951054
7,100,0,3,100,100,0,0,1,103,491,100,100,0.1032851107,48.8687858931,33.3333333333,16.5797008135,1.0000000000,0.9668480000,217.6143509631
8,100,0,4,100,100,0,0,1,104,588,100,100,0.1274129981,48.7413728950,25.0000000000,16.4955501999,1.0000000000,0.9680640000,217.3410022478
9,100,0,4,100,100,0,0,1,104,588,100,100,0.1288917863,48.6124811087,25.0000000000,16.4956106374,1.0000000000,0.9680640000,217.3410022478
10,100,0,4,100,100,0,0,1,104,588,100,100,0.1277388957,48.4847422130,25.0000000000,16.4955235536,1.0000000000,0.9680640000,217.3410022478
11,100,0,10,100,100,0,0,1,110,1170,100,100,0.2705449092,48.2141973038,10.0000000000,15.9905653590,1.0000000000,0.9753600000,215.7152230971
12,100,0,3,100,100,0,0,1,103,491,100,100,0.1039533439,48.1102439599,33.3333333333,16.5797350748,1.0000000000,0.9668480000,217.6143509631
13,100,0,8,100,100,0,0,1,108,976,100,100,0.2225455583,47.8876984016,12.5000000000,16.1589057193,1.0000000000,0.9729280000,216.2544402052
14,100,0,7,100,100,0,0,1,107,879,100,100,0.1984715433,47.6892268583,14.2857142857,16.2430433151,1.0000000000,0.9717120000,216.5250609234
15,100,0,6,100,100,0,0,1,106,782,100,100,0.1748476962,47.5143791621,16.6666666667,16.3272097520,1.0000000000,0.9704960000,216.7963597995
16,100,0,2,100,100,0,0,1,102,394,100,100,0.0812482125,47.4331309496,50.0000000000,16.6639182911,1.0000000000,0.9656320000,217.8883881230
17,100,0,4,100,100,0,0,1,104,588,100,100,0.1285250816,47.3046058680,25.0000000000,16.4955870581,1.0000000000,0.9680640000,217.3410022478
18,100,0,3,100,100,0,0,1,103,491,100,100,0.1035987814,47.2010070866,33.3333333333,16.5797041982,1.0000000000,0.9668480000,217.6143509631
19,100,0,2,100,100,0,0,1,102,394,100,100,0.0820484562,47.1189586304,50.0000000000,16.6639804415,1.0000000000,0.9656320000,217.8883881230
20,100,0,5,100,100,0,0,1,105,685,100,100,0.1510157174,46.9679429130,20.0000000000,16.4114161020,1.0000000000,0.9692800000,217.0683393859
21,100,0,4,100,100,0,0,2,104,588,100,100,0.1267736856,46.8411692274,25.0000000000,16.4955339781,1.0000000000,0.9680640000,217.3410022478
22,100,0,5,100,100,0,0,2,105,685,100,100,0.1511478299,46.6900213975,20.0000000000,16.4113817904,1.0000000000,0.9692800000,217.0683393859
23,100,0,4,100,100,0,0,2,104,588,100,100,0.1274800958,46.5625413017,25.0000000000,16.4955512822,1.0000000000,0.9680640000,217.3410022478
24,100,0,7,100,100,0,0,2,107,879,100,100,0.1987265434,46.3638147584,14.2857142857,16.2430696407,1.0000000000,0.9717120000,216.5250609234
25,100,0,4,100,100,0,0,2,104,588,100,100,0.1271069221,46.2367078362,25.0000000000,16.4955587615,1.0000000000,0.9680640000,217.3410022478
26,100,0,6,100,100,0,0,2,106,782,100,100,0.1744498198,46.0622580164,16.6666666667,16.3272321818,1.0000000000,0.9704960000,216.7963597995
27,100,0,5,100,100,0,0,2,105,685,100,100,0.1512850572,45.9109729592,20.0000000000,16.4114023249,1.0000000000,0.9692800000,217.0683393859
28,100,0,7,100,100,0,0,2,107,879,100,100,0.1985327773,45.7124401820,14.2857142857,16.2430476275,1.0000000000,0.9717120000,216.5250609234
29,100,0,5,100,100,0,0,2,105,685,100,100,0.1514314568,45.5610087251,20.0000000000,16.4114214509,1.0000000000,0.9692800000,217.0683393859
30,100,0,4,100,100,0,0,2,104,588,100,100,0.1271574512,45.4338512740,25.0000000000,16.4955557993,1.0000000000,0.9680640000,217.3410022478
31,100,0,6,100,100,0,0,2,106,782,100,100,0.1749976934,45.2588535806,16.6666666667,16.3272326626,1.0000000000,0.9704960000,216.7963597995
32,100,0,7,100,100,0,0,2,107,879,100,100,0.1988372855,45.0600162951,14.2857142857,16.2430944477,1.0000000000,0.9717120000,216.5250609234
33,100,0,4,100,100,0,0,2,104,588,100,100,0.1272630836,44.9327532115,25.0000000000,16.4955536663,1.0000000000,0.9680640000,217.3410022478
34,100,0,5,100,100,0,0,2,105,685,100,100,0.1506215683,44.7821316431,20.0000000000,16.4114222468,1.0000000000,0.9692800000,217.0683393859
35,100,0,5,100,100,0,0,2,105,685,100,100,0.1508233706,44.6313082725,20.0000000000,16.4113926048,1.0000000000,0.9692800000,217.0683393859
36,100,0,4,100,100,0,0,2,104,588,100,100,0.1275075761,44.5038006964,25.0000000000,16.4955558859,1.0000000000,0.9680640000,217.3410022478
37,100,0,4,100,100,0,0,2,104,588,100,100,0.1284772164,44.3753234800,25.0000000000,16.4956218932,1.0000000000,0.9680640000,217.3410022478
38,100,0,5,100,100,0,0,2,105,685,100,100,0.1510461238,44.2242773562,20.0000000000,16.4113882244,1.0000000000,0.9692800000,217.0683393859
39,100,0,7,100,100,0,0,2,107,879,100,100,0.1982240883,44.0260532679,14.2857142857,16.2430663168,1.0000000000,0.9717120000,216.5250609234
40,100,0,2,100,100,0,0,2,102,394,100,100,0.0805789182,43.9454743497,50.0000000000,16.6638478202,1.0000000000,0.9656320000,217.8883881230
41,100,0,10,100,100,0,0,3,110,1170,100,100,0.2700891285,43.6753852212,10.0000000000,15.9905644242,1.0000000000,0.9753600000,215.7152230971
