Round,Alive,Dead,CH_Count,Generated,Delivered,Lost,Unclustered,LEACH_Epoch,Control_TX,Control_RX,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Cluster_Size,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps
1,100,0,6,100,100,0,0,1,105,782,100,100,0.0439598298,45.1560401702,16.6666666667,16.3272682061,1.0000000000,0.9692800000,217.0683393859
2,100,0,9,100,100,0,0,1,108,1073,100,100,0.0476568478,45.1083833224,11.1111111111,16.0747548215,1.0000000000,0.9729280000,216.2544402052
3,100,0,2,100,100,0,0,1,102,394,100,100,0.0374645909,45.0709187315,50.0000000000,16.6638505395,1.0000000000,0.9656320000,217.8883881230
4,100,0,5,100,100,0,0,1,105,685,100,100,0.0408026159,45.0301161157,20.0000000000,16.4114015726,1.0000000000,0.9692800000,217.0683393859
5,100,0,4,100,100,0,0,1,104,588,100,100,0.0401342143,44.9899819014,25.0000000000,16.4956084352,1.0000000000,0.9680640000,217.3410022478
6,100,0,9,100,100,0,0,1,109,1073,100,100,0.0474428976,44.9425390038,11.1111111111,16.0747378696,1.0000000000,0.9741440000,215.9844951054
7,100,0,3,100,100,0,0,1,103,491,100,100,0.0380571107,44.9044818931,33.3333333333,16.5797008135,1.0000000000,0.9668480000,217.6143509631
8,100,0,4,100,100,0,0,1,104,588,100,100,0.0398849981,44.8645968950,25.0000000000,16.4955501999,1.0000000000,0.9680640000,217.3410022478
9,100,0,4,100,100,0,0,1,104,588,100,100,0.0413637863,44.8232331087,25.0000000000,16.4956106374,1.0000000000,0.9680640000,217.3410022478
10,100,0,4,100,100,0,0,1,104,588,100,100,0.0402108957,44.7830222130,25.0000000000,16.4955235536,1.0000000000,0.9680640000,217.3410022478
11,100,0,10,100,100,0,0,1,110,1170,100,100,0.0492169092,44.7338053038,10.0000000000,15.9905653590,1.0000000000,0.9753600000,215.7152230971
12,100,0,3,100,100,0,0,1,103,491,100,100,0.0387253439,44.6950799599,33.3333333333,16.5797350748,1.0000000000,0.9668480000,217.6143509631
13,100,0,8,100,100,0,0,1,108,976,100,100,0.0458175583,44.6492624016,12.5000000000,16.1589057193,1.0000000000,0.9729280000,216.2544402052
14,100,0,7,100,100,0,0,1,107,879,100,100,0.0440435433,44.6052188583,14.2857142857,16.2430433151,1.0000000000,0.9717120000,216.5250609234
15,100,0,6,100,100,0,0,1,106,782,100,100,0.0427196962,44.5624991621,16.6666666667,16.3272097520,1.0000000000,0.9704960000,216.7963597995
16,100,0,2,100,100,0,0,1,102,394,100,100,0.0383202125,44.5241789496,50.0000000000,16.6639182911,1.0000000000,0.9656320000,217.8883881230
17,100,0,4,100,100,0,0,1,104,588,100,100,0.0409970816,44.4831818680,25.0000000000,16.4955870581,1.0000000000,0.9680640000,217.3410022478
18,100,0,3,100,100,0,0,1,103,491,100,100,0.0383707814,44.4448110866,33.3333333333,16.5797041982,1.0000000000,0.9668480000,217.6143509631
19,100,0,2,100,100,0,0,1,102,394,100,100,0.0391204562,44.4056906304,50.0000000000,16.6639804415,1.0000000000,0.9656320000,217.8883881230
20,100,0,5,100,100,0,0,1,105,685,100,100,0.0411877174,44.3645029130,20.0000000000,16.4114161020,1.0000000000,0.9692800000,217.0683393859
21,100,0,4,100,100,0,0,2,104,588,100,100,0.0392456856,44.3252572274,25.0000000000,16.4955339781,1.0000000000,0.9680640000,217.3410022478
22,100,0,5,100,100,0,0,2,105,685,100,100,0.0413198299,44.2839373975,20.0000000000,16.4113817904,1.0000000000,0.9692800000,217.0683393859
23,100,0,4,100,100,0,0,2,104,588,100,100,0.0399520958,44.2439853017,25.0000000000,16.4955512822,1.0000000000,0.9680640000,217.3410022478
24,100,0,7,100,100,0,0,2,107,879,100,100,0.0442985434,44.1996867584,14.2857142857,16.2430696407,1.0000000000,0.9717120000,216.5250609234
25,100,0,4,100,100,0,0,2,104,588,100,100,0.0395789221,44.1601078362,25.0000000000,16.4955587615,1.0000000000,0.9680640000,217.3410022478
26,100,0,6,100,100,0,0,2,106,782,100,100,0.0423218198,44.1177860164,16.6666666667,16.3272321818,1.0000000000,0.9704960000,216.7963597995
27,100,0,5,100,100,0,0,2,105,685,100,100,0.0414570572,44.0763289592,20.0000000000,16.4114023249,1.0000000000,0.9692800000,217.0683393859
28,100,0,7,100,100,0,0,2,107,879,100,100,0.0441047773,44.0322241820,14.2857142857,16.2430476275,1.0000000000,0.9717120000,216.5250609234
29,100,0,5,100,100,0,0,2,105,685,100,100,0.0416034568,43.9906207251,20.0000000000,16.4114214509,1.0000000000,0.9692800000,217.0683393859
30,100,0,4,100,100,0,0,2,104,588,100,100,0.0396294512,43.9509912740,25.0000000000,16.4955557993,1.0000000000,0.9680640000,217.3410022478
31,100,0,6,100,100,0,0,2,106,782,100,100,0.0428696934,43.9081215806,16.6666666667,16.3272326626,1.0000000000,0.9704960000,216.7963597995
